id	product_url	title	description	image_url	price	currency	condition
9	http://www.pnpdance.com/hotfix-rhinestones/4mm-ab-16ss-/100-4mm-clear-ab-hotfix-rhinestones/prod_9.html	100 4mm Clear AB Hotfix Rhinestones	<div class=""SPText""><div class=""SPText""><div class=""SPText""><div class=""SPText""><div class=""SPText""><p><b>4mm Clear AB flat back acrylic hotfix rhinestone.&nbsp; These  rhinestones  are ideal for jazzing up any dance outfit or  anything you  like, they  can be glued or ironed onto fabric.<br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div></div></div></div></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_crystal_AB_hotfix.jpg	2.00	GBP	new
3	http://www.pnpdance.com/silverback-rhinestones/4mm-ab-16ss-/100-4mm-clear-ab-silverback-rhinestones/crystals/prod_3.html	100 4mm Clear AB Silverback Rhinestones/Crystals	<div class=""SPText""><p><b>4mm Clear AB flat back acrylic rhinestone, silver  backed.&nbsp; These rhinestones are ideal for jazzing up any dance outfit or  anything you like!&nbsp; <br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_crystal_AB.jpg	1.50	GBP	new
8	http://www.pnpdance.com/hotfix-rhinestones/4mm-16ss-/100-4mm-clear-hotfix-rhinestones/prod_8.html	100 4mm Clear Hotfix Rhinestones	<div class=""SPText""><div class=""SPText""><p><b>4mm Clear flat back acrylic hotfix rhinestone.&nbsp; These  rhinestones are ideal for jazzing up any dance outfit or  anything you  like, they can be glued or ironed onto fabric.<br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_crystal_hotfix.jpg	1.50	GBP	new
2	http://www.pnpdance.com/silverback-rhinestones/4mm-16ss-/100-4mm-clear-silverback-rhinestones/crystals/prod_2.html	100 4mm Clear Silverback Rhinestones/Crystals	<p><b>4mm flat back acrylic rhinestone, &nbsp;Clear silver backed.&nbsp; These rhinestones are ideal for jazzing up any dance outfit or anything you like!<br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_crystal.jpg	1.00	GBP	new
10	http://www.pnpdance.com/hotfix-rhinestones/4mm-16ss-/100-4mm-emerald-ab-hotfix-rhinestones/prod_10.html	100 4mm Emerald AB Hotfix Rhinestones	<div class=""SPText""><div class=""SPText""><div class=""SPText""><p><b>4mm Emerald&nbsp; flat back acrylic hotfix rhinestone.&nbsp; These  rhinestones  are ideal for jazzing up any dance outfit or  anything you  like, they  can be glued or ironed onto fabric.<br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div></div></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_Emerald_hotfix.jpg	2.00	GBP	new
5	http://www.pnpdance.com/silverback-rhinestones/4mm-ab-16ss-/100-4mm-lemon-ab-silverback-rhinestones/crystals/prod_5.html	100 4mm Lemon AB Silverback Rhinestones/Crystals	<div class=""SPText""><div class=""SPText""><p><b>4mm Lemon AB flat back acrylic rhinestone, silver  backed.&nbsp; These  rhinestones are ideal for jazzing up any dance outfit or  anything you  like!&nbsp; <br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_lemon_AB.jpg	1.50	GBP	new
6	http://www.pnpdance.com/silverback-rhinestones/4mm-ab-16ss-/100-4mm-mint-ab-silverback-rhinestones/crystals/prod_6.html	100 4mm Mint AB Silverback Rhinestones/Crystals	<div class=""SPText""><div class=""SPText""><p><b>4mm Mint AB flat back acrylic rhinestone, silver  backed.&nbsp; These  rhinestones are ideal for jazzing up any dance outfit or  anything you  like!&nbsp; <br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_mint_AB.jpg	1.50	GBP	new
4	http://www.pnpdance.com/silverback-rhinestones/4mm-ab-16ss-/100-4mm-orange-ab-silverback-rhinestones/prod_4.html	100 4mm Orange AB Silverback Rhinestones	<div class=""SPText""><p><b>4mm Orange AB flat back acrylic rhinestone, silver  backed.&nbsp; These rhinestones are ideal for jazzing up any dance outfit or  anything you like!&nbsp; <br /></b></p><p><b>Sold in bags of 100, please state how many bags, not rhinstones when ordering</b>.</p></div>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mmOrangeAB.jpg	1.50	GBP	new
15	http://www.pnpdance.com/silverback-rhinestones/4mm-ab-16ss-/100-4mm-pink-ab-silverback-rhinestones/crystals/prod_15.html	100 4mm Pink AB Silverback Rhinestones/Crystals	<p>&nbsp;<meta charset=""utf-8""><b>4mm Pink AB flat back acrylic rhinestone, silver backed.&nbsp; These rhinestones are ideal for jazzing up any dance outfit or anything you like! &nbsp;</b>     </meta></p><p><b>Sold in bags of 100, please state how many bags, not rhinestones when ordering</b>.</p><p>&nbsp;</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_pink_AB.jpg	1.50	GBP	new
16	http://www.pnpdance.com/silverback-rhinestones/4mm-16ss-/100-4mm-pink-silverback-rhinestones/crystals/prod_16.html	100 4mm Pink Silverback Rhinestones/Crystals	<p>&nbsp;<meta charset=""utf-8""><b>4mm Pink flat back acrylic rhinestone, silver backed.&nbsp; These rhinestones are ideal for jazzing up any dance outfit or anything you like! &nbsp;</b>    </meta></p><p><b>Sold in bags of 100, please state how many bags, not rhinestones when ordering</b>.</p><p>&nbsp;</p>	http://www.pnpdance.com/images/uploads/_images/ProductImages/4mm_pink.jpg	1.00	GBP	new
